first_name,last_name,player_type,is_foreign,ipl_team,batting_avg,batting_sr,bowling_avg,bowling_econ
Mayank,Yadav,bowler,false,Lucknow Super Giants,,,
Mohsin,Khan,bowler,false,Lucknow Super Giants,,,
Rohit,Sharma,batsman,false,Mumbai Indians,,,
Surya Kumar,Yadav,batsman,false,Mumbai Indians,,,
Robin,Minz,wicketkeeper,false,Mumbai Indians,,,
Sherfane,Rutherford,batsman,true,Mumbai Indians,,,
Ryan,Rickelton,wicketkeeper,true,Mumbai Indians,,,
Quinton,de Kock,wicketkeeper,true,Mumbai Indians,,,
Danish,Malewar,batsman,false,Mumbai Indians,,,
Tilak,Varma,batsman,false,Mumbai Indians,,,
Hardik,Pandya,allrounder,false,Mumbai Indians,,,
Naman,Dhir,allrounder,false,Mumbai Indians,,,
Mitchell,Santner,allrounder,true,Mumbai Indians,,,
Raj Angad,Bawa,allrounder,false,Mumbai Indians,,,
Atharva,Ankolekar,allrounder,false,Mumbai Indians,,,
Mayank,Rawat,allrounder,false,Mumbai Indians,,,
Corbin,Bosch,allrounder,true,Mumbai Indians,,,
Will,Jacks,allrounder,true,Mumbai Indians,,,
Shardul,Thakur,allrounder,false,Mumbai Indians,,,
Trent,Boult,bowler,true,Mumbai Indians,,,
Mayank,Markande,bowler,false,Mumbai Indians,,,
Deepak,Chahar,bowler,false,Mumbai Indians,,,
Ashwani,Kumar,bowler,false,Mumbai Indians,,,
Raghu,Sharma,bowler,false,Mumbai Indians,,,
Mohammad,Izhar,bowler,false,Mumbai Indians,,,
Allah,Ghazanfar,bowler,true,Mumbai Indians,,,
Jasprit,Bumrah,bowler,false,Mumbai Indians,,,
Shreyas,Iyer,batsman,false,Punjab Kings,,,
Nehal,Wadhera,batsman,false,Punjab Kings,,,
Vishnu,Vinod,wicketkeeper,false,Punjab Kings,,,
Harnoor,Pannu,batsman,false,Punjab Kings,,,
Pyla,Avinash,batsman,false,Punjab Kings,,,
Prabhsimran,Singh,wicketkeeper,false,Punjab Kings,,,
Shashank,Singh,batsman,false,Punjab Kings,,,
Marcus,Stoinis,allrounder,true,Punjab Kings,,,
Harpreet,Brar,allrounder,false,Punjab Kings,,,
Marco,Jansen,allrounder,true,Punjab Kings,,,
Azmatullah,Omarzai,allrounder,true,Punjab Kings,,,
Priyansh,Arya,allrounder,false,Punjab Kings,,,
Musheer,Khan,allrounder,false,Punjab Kings,,,
Suryansh,Shedge,allrounder,false,Punjab Kings,,,
Mitch,Owen,allrounder,true,Punjab Kings,,,
Cooper,Connolly,allrounder,true,Punjab Kings,,,
Ben,Dwarshuis,allrounder,true,Punjab Kings,,,
Arshdeep,Singh,bowler,false,Punjab Kings,,,
Yuzvendra,Chahal,bowler,false,Punjab Kings,,,
Vyshak,Vijaykumar,bowler,false,Punjab Kings,,,
Yash,Thakur,bowler,false,Punjab Kings,,,
Xavier,Bartlett,bowler,true,Punjab Kings,,,
Pravin,Dubey,bowler,false,Punjab Kings,,,
Vishal,Nishad,bowler,false,Punjab Kings,,,
Lockie,Ferguson,bowler,true,Punjab Kings,,,
Shubham,Dubey,batsman,false,Rajasthan Royals,,,
Vaibhav,Suryavanshi,batsman,false,Rajasthan Royals,,,
Donovan,Ferreira,wicketkeeper,true,Rajasthan Royals,,,
Lhuan-dre,Pretorius,batsman,true,Rajasthan Royals,,,
Ravi,Singh,wicketkeeper,false,Rajasthan Royals,,,
Aman Rao,Perala,batsman,false,Rajasthan Royals,,,
Shimron,Hetmyer,batsman,true,Rajasthan Royals,,,
Yashasvi,Jaiswal,batsman,false,Rajasthan Royals,,,
Dhruv,Jurel,wicketkeeper,false,Rajasthan Royals,,,
Riyan,Parag,batsman,false,Rajasthan Royals,,,
Yudhvir Singh,Charak,allrounder,false,Rajasthan Royals,,,
Ravindra,Jadeja,allrounder,false,Rajasthan Royals,,,
Sam,Curran,allrounder,true,Rajasthan Royals,,,
Jofra,Archer,bowler,true,Rajasthan Royals,,,
Tushar,Deshpande,bowler,false,Rajasthan Royals,,,
Kwena,Maphaka,bowler,true,Rajasthan Royals,,,
Ravi,Bishnoi,bowler,false,Rajasthan Royals,,,
Sushant,Mishra,bowler,false,Rajasthan Royals,,,
Yash Raj,Punja,bowler,false,Rajasthan Royals,,,
Vignesh,Puthur,bowler,false,Rajasthan Royals,,,
Brijesh,Sharma,bowler,false,Rajasthan Royals,,,
Adam,Milne,bowler,true,Rajasthan Royals,,,
Kuldeep,Sen,bowler,false,Rajasthan Royals,,,
Sandeep,Sharma,bowler,false,Rajasthan Royals,,,
Nandre,Burger,bowler,true,Rajasthan Royals,,,
Rajat,Patidar,batsman,false,Royal Challengers Bengaluru,,,
Devdutt,Padikkal,batsman,false,Royal Challengers Bengaluru,,,
Virat,Kohli,batsman,false,Royal Challengers Bengaluru,,,
Phil,Salt,wicketkeeper,true,Royal Challengers Bengaluru,,,
Jitesh,Sharma,wicketkeeper,false,Royal Challengers Bengaluru,,,
Jordan,Cox,wicketkeeper,true,Royal Challengers Bengaluru,,,
Krunal,Pandya,allrounder,false,Royal Challengers Bengaluru,,,
Swapnil,Singh,allrounder,false,Royal Challengers Bengaluru,,,
Tim,David,allrounder,true,Royal Challengers Bengaluru,,,
Romario,Shepherd,allrounder,true,Royal Challengers Bengaluru,,,
Jacob,Bethell,allrounder,true,Royal Challengers Bengaluru,,,
Venkatesh,Iyer,allrounder,false,Royal Challengers Bengaluru,,,
Satvik,Deswal,allrounder,false,Royal Challengers Bengaluru,,,
Mangesh,Yadav,allrounder,false,Royal Challengers Bengaluru,,,
Vicky,Ostwal,allrounder,false,Royal Challengers Bengaluru,,,
Vihaan,Malhotra,allrounder,false,Royal Challengers Bengaluru,,,
Kanishk,Chouhan,allrounder,false,Royal Challengers Bengaluru,,,
Josh,Hazlewood,bowler,true,Royal Challengers Bengaluru,,,
Rasikh,Dar,bowler,false,Royal Challengers Bengaluru,,,
Suyash,Sharma,bowler,false,Royal Challengers Bengaluru,,,
Bhuvneshwar,Kumar,bowler,false,Royal Challengers Bengaluru,,,
Nuwan,Thushara,bowler,true,Royal Challengers Bengaluru,,,
Abhinandan,Singh,bowler,false,Royal Challengers Bengaluru,,,
Jacob,Duffy,bowler,true,Royal Challengers Bengaluru,,,
Yash,Dayal,bowler,false,Royal Challengers Bengaluru,,,
Ishan,Kishan,wicketkeeper,false,Sunrisers Hyderabad,,,
Aniket,Verma,batsman,false,Sunrisers Hyderabad,,,
Smaran,Ravichandran,batsman,false,Sunrisers Hyderabad,,,
Salil,Arora,wicketkeeper,false,Sunrisers Hyderabad,,,
Heinrich,Klaasen,wicketkeeper,true,Sunrisers Hyderabad,,,
Travis,Head,batsman,true,Sunrisers Hyderabad,,,
Harshal,Patel,allrounder,false,Sunrisers Hyderabad,,,
Kamindu,Mendis,allrounder,true,Sunrisers Hyderabad,,,
Harsh,Dubey,allrounder,false,Sunrisers Hyderabad,,,
Brydon,Carse,allrounder,true,Sunrisers Hyderabad,,,
Shivang,Kumar,allrounder,false,Sunrisers Hyderabad,,,
Krains,Fuletra,allrounder,false,Sunrisers Hyderabad,,,
Liam,Livingstone,allrounder,true,Sunrisers Hyderabad,,,
Jack,Edwards,allrounder,true,Sunrisers Hyderabad,,,
Abhishek,Sharma,allrounder,false,Sunrisers Hyderabad,,,
Nitish Kumar,Reddy,allrounder,false,Sunrisers Hyderabad,,,
Pat,Cummins,bowler,true,Sunrisers Hyderabad,,,
Zeeshan,Ansari,bowler,false,Sunrisers Hyderabad,,,
Jaydev,Unadkat,bowler,false,Sunrisers Hyderabad,,,
Eshan,Malinga,bowler,true,Sunrisers Hyderabad,,,
Sakib,Hussain,bowler,false,Sunrisers Hyderabad,,,
Onkar,Tarmale,bowler,false,Sunrisers Hyderabad,,,
Amit,Kumar,bowler,false,Sunrisers Hyderabad,,,
Praful,Hinge,bowler,false,Sunrisers Hyderabad,,,
Shivam,Mavi,bowler,false,Sunrisers Hyderabad,,,
